Source_Port,Destination_Port,Protocol,Packet_Size,Connection_Duration_ms,Failed_Login_Attempts,Malware_Signature_Detected,Is_Attack
6629,4538,UDP,288,17782,11,0,0
2771,8954,ICMP,1062,23110,2,1,1
13649,1742,TCP,1254,2119,1,0,0
50064,8457,UDP,1123,29912,2,1,1
45875,8740,ICMP,912,31479,5,1,0
20733,4506,ICMP,741,4296,9,1,0
10919,84,TCP,100,40066,1,0,0
34997,6312,ICMP,71,42764,9,0,0
29483,6443,ICMP,424,33179,6,0,0
30984,3088,ICMP,93,55155,3,1,1
41984,2983,TCP,1020,35093,10,1,0
20859,1547,TCP,385,6595,8,1,1
33106,1920,ICMP,1447,12611,2,0,0
54976,1381,UDP,1235,53912,7,1,0
7340,3239,ICMP,186,12011,13,0,0
2901,3178,ICMP,976,19559,13,1,1
39204,6069,ICMP,181,47,12,1,0
8399,6317,ICMP,733,51540,1,1,0
23814,3544,TCP,652,22442,9,1,1
52824,1238,TCP,106,5326,0,1,0
51022,3888,TCP,427,44438,2,1,0
26417,6915,UDP,1329,30532,7,0,1
38722,2238,TCP,768,20160,10,1,0
64777,7739,TCP,128,27960,6,1,0
31942,6657,ICMP,1298,30995,2,1,0
12914,2757,ICMP,399,3085,9,0,0
59128,5274,UDP,1156,16640,13,0,1
33480,2330,TCP,119,19444,0,1,0
58613,8647,ICMP,1060,59879,6,0,0
47760,3400,UDP,371,1625,0,0,1
32674,3131,TCP,676,1426,4,1,1
28035,3208,ICMP,1102,14672,8,1,0
63985,1749,UDP,1213,54804,5,0,0
45351,5679,UDP,903,18131,3,1,1
6805,3276,UDP,1379,1698,3,0,1
5685,8697,ICMP,637,15891,13,0,1
59398,2513,ICMP,642,53836,11,1,1
46470,2519,TCP,430,27073,9,1,0
61701,2375,TCP,1468,21628,0,0,1
39795,7448,UDP,1364,6583,0,0,0
2157,3842,UDP,541,15904,9,0,1
4737,1114,UDP,750,6944,9,1,0
36982,3798,ICMP,109,5620,12,0,0
59013,8190,TCP,353,59024,6,1,1
32409,2673,ICMP,435,40280,14,1,0
13391,5574,UDP,517,46923,3,1,0
19518,2944,UDP,1005,13026,14,0,0
63237,8682,ICMP,1139,36656,12,0,1
48073,6163,UDP,1085,885,0,1,0
11111,4734,TCP,691,55898,2,1,0
56962,3532,UDP,739,31600,4,1,0
55062,7796,UDP,1040,53475,7,0,0
61448,6553,UDP,1322,19641,13,1,1
58253,4373,TCP,1002,9700,9,0,0
30820,2145,ICMP,1291,43194,11,0,1
63189,1625,UDP,274,47630,3,1,1
40310,2852,TCP,755,57405,6,0,0
28183,994,ICMP,493,8931,5,1,0
13170,3429,TCP,795,22205,4,0,1
4932,7658,ICMP,1306,22408,12,1,1
11404,3234,TCP,1197,15034,13,0,0
58399,2582,ICMP,1070,34144,14,1,0
17917,6131,UDP,662,36317,4,0,1
22999,1550,UDP,1394,50705,14,1,1
27992,8997,TCP,1117,5229,6,0,1
60774,8609,TCP,801,43201,4,1,0
32170,3653,TCP,1336,37326,9,1,0
10453,4671,ICMP,1339,11431,3,1,0
55859,8102,TCP,1274,56733,2,1,0
22138,2368,TCP,292,26856,5,1,1
61149,8465,TCP,1213,25765,13,0,0
1204,3037,UDP,268,23459,13,1,1
33007,270,TCP,371,4525,11,1,0
33676,6955,TCP,164,25968,13,0,0
28329,4603,ICMP,799,54804,1,1,0
50023,514,TCP,1179,41660,4,0,0
10106,6130,TCP,1410,16581,0,1,0
53359,4092,TCP,1083,55515,11,0,0
10747,1235,UDP,1050,13651,0,0,0
40906,2608,UDP,92,37565,3,1,1
23295,4956,UDP,1097,915,3,0,0
11880,1759,ICMP,1404,52876,3,1,0
55655,8635,ICMP,1129,18650,2,1,0
13427,8843,UDP,697,4594,10,0,0
58205,8591,ICMP,763,54454,14,0,0
49620,3615,TCP,366,43740,1,0,1
16646,4212,UDP,952,14842,1,0,1
16299,6747,ICMP,225,40231,0,0,0
25692,1000,ICMP,1294,27598,14,0,1
9474,8870,TCP,615,31168,3,1,1
40189,192,UDP,1056,57847,0,1,1
5731,7256,ICMP,493,14161,11,1,0
62094,246,ICMP,460,11256,5,1,1
29263,2851,TCP,531,20982,3,1,1
14140,7410,ICMP,692,30465,5,0,0
57395,6284,UDP,546,15983,12,1,0
4140,4005,UDP,668,36685,13,1,0
64483,2556,UDP,1259,15210,13,0,1
23415,7036,TCP,372,11934,7,0,0
38796,3817,ICMP,1364,6378,6,1,0
23427,8215,UDP,1410,25636,9,1,0
24528,1146,ICMP,682,8025,7,0,1
46699,4636,ICMP,1335,38866,14,1,0
