Message_ID,Message_Text,Caller_Location,Is_Fraud,Communication_Type,Duration_Seconds
1,schedule call me schedule documents assignment,Noida,0,SMS,0
2,bank alert investment scheme claim now bank alert claim now urgent,Mumbai,1,SMS,0
3,documents dinner project update assignment invoice hello,Mumbai,0,SMS,0
4,dinner project update meeting,Mumbai,0,SMS,0
5,schedule family trip project update,Noida,0,SMS,0
6,documents dinner documents schedule,Chennai,0,SMS,0
7,hello assignment assignment documents invoice hello,Pune,0,SMS,0
8,investment scheme KYC update win KYC update,Mumbai,1,Call,12
9,call me schedule assignment hello,Delhi,0,Call,218
10,documents meeting call me,Unknown,0,Call,175
11,call me invoice hello invoice,Kolkata,0,SMS,0
12,claim now lottery win KYC update urgent investment scheme,Mumbai,1,SMS,0
13,claim now OTP bank alert,Pune,1,Call,170
14,schedule meeting meeting documents project update,Delhi,0,Call,126
15,assignment invoice schedule family trip meeting,Unknown,0,SMS,0
16,meeting project update family trip family trip project update,Hyderabad,0,SMS,0
17,meeting assignment hello hello project update family trip,Bangalore,0,SMS,0
18,invoice project update assignment project update call me schedule,Delhi,0,SMS,0
19,family trip documents documents family trip assignment,Chennai,0,SMS,0
20,call me call me meeting schedule,Delhi,0,SMS,0
21,hello dinner assignment dinner dinner,Delhi,0,SMS,0
22,family trip documents documents hello family trip dinner,Chennai,0,SMS,0
23,invoice documents assignment assignment meeting project update,Hyderabad,0,Call,220
24,invoice documents call me documents meeting,Noida,0,SMS,0
25,assignment dinner call me,Unknown,0,SMS,0
26,bank alert OTP urgent,Delhi,1,SMS,0
27,schedule invoice project update call me hello call me,Delhi,0,Call,262
28,documents assignment documents documents,Chennai,0,Call,38
29,invoice dinner hello hello documents schedule,Pune,0,SMS,0
30,invoice documents project update,Delhi,0,Call,230
31,assignment dinner family trip project update schedule,Delhi,0,Call,156
32,call me call me project update documents family trip,Chennai,0,Call,212
33,meeting meeting schedule,Pune,0,SMS,0
34,blocked KYC update KYC update,Chennai,1,SMS,0
35,urgent bank alert bank alert free gift claim now OTP,Delhi,1,SMS,0
36,lottery OTP KYC update KYC update win urgent,Mumbai,1,SMS,0
37,family trip assignment schedule hello invoice call me,Unknown,0,SMS,0
38,meeting dinner invoice dinner,Pune,0,SMS,0
39,project update assignment hello,Mumbai,0,SMS,0
40,call me invoice dinner,Chennai,0,Call,68
41,family trip project update family trip,Delhi,0,SMS,0
42,call me invoice project update,Chennai,0,SMS,0
43,invoice hello documents,Noida,0,SMS,0
44,win bank alert free gift,Noida,1,SMS,0
45,assignment hello documents assignment meeting,Delhi,0,SMS,0
46,hello call me dinner,Delhi,0,SMS,0
47,project update invoice call me project update,Mumbai,0,SMS,0
48,assignment invoice schedule,Kolkata,0,SMS,0
49,family trip meeting hello call me meeting,Delhi,0,Call,31
50,dinner project update project update call me documents,Pune,0,Call,262
51,blocked OTP bank alert,Pune,1,SMS,0
52,claim now urgent lottery,Chennai,1,SMS,0
53,blocked OTP OTP free gift urgent,Mumbai,1,Call,47
54,investment scheme claim now bank alert,Hyderabad,1,SMS,0
55,hello call me invoice hello hello dinner,Bangalore,0,SMS,0
